num,text,timestamp,label,clean_text,tokens,processed_tokens,processed_text,sentiment_polarity
1945," & :  US eastcoast had a historic blizzard.18 people died, incl a good samaritan who was shot trying to help a man w his stalled car",2016-01-25 15:27:00,1,us eastcoast had a historic blizzard people died incl a good samaritan who was shot trying to help a man w his stalled car,"['us', 'eastcoast', 'had', 'a', 'historic', 'blizzard', 'people', 'died', 'incl', 'a', 'good', 'samaritan', 'who', 'was', 'shot', 'trying', 'to', 'help', 'a', 'man', 'w', 'his', 'stalled', 'car']","['us', 'eastcoast', 'histor', 'blizzard', 'peopl', 'die', 'incl', 'good', 'samaritan', 'shot', 'tri', 'help', 'man', 'w', 'stall', 'car']",us eastcoast histor blizzard peopl die incl good samaritan shot tri help man w stall car,0.7
1239, brixcitygurl: CAN YOU FIND THE CAR? #blizzard 2016 1/24/16 #snow #weather #snowmageddon #snowday #cold... http://tmblr.co/ZQapGy20iLc2Q ,2016-01-28 00:46:00,1,brixcitygurl can you find the car,"['brixcitygurl', 'can', 'you', 'find', 'the', 'car']","['brixcitygurl', 'find', 'car']",brixcitygurl find car,0.0
455, Snow blizzard in NY ! It took us a week to get our car out . Fun times in the city :) http://tmblr.co/ZulQai20vmql5 ,2016-01-31 14:00:00,1,snow blizzard in ny  it took us a week to get our car out  fun times in the city,"['snow', 'blizzard', 'in', 'ny', 'it', 'took', 'us', 'a', 'week', 'to', 'get', 'our', 'car', 'out', 'fun', 'times', 'in', 'the', 'city']","['snow', 'blizzard', 'ny', 'took', 'us', 'week', 'get', 'car', 'fun', 'time', 'citi']",snow blizzard ny took us week get car fun time citi,0.3
623, Snow Painting  Spray bottle with a few drops of food coloring makes for some post blizzard… https://www.instagram.com/p/BBAtnBoR3H5/ ,2016-01-26 17:46:00,1,snow painting  spray bottle with a few drops of food coloring makes for some post blizzard,"['snow', 'painting', 'spray', 'bottle', 'with', 'a', 'few', 'drops', 'of', 'food', 'coloring', 'makes', 'for', 'some', 'post', 'blizzard']","['snow', 'paint', 'spray', 'bottl', 'drop', 'food', 'color', 'make', 'post', 'blizzard']",snow paint spray bottl drop food color make post blizzard,0.0
48, Stony Brook Medicine residents covering the university hospital and Northport VA during the blizzard! http://tmblr.co/ZR86Xy20VKqPm ,2016-01-24 19:06:00,1,stony brook medicine residents covering the university hospital and northport va during the blizzard,"['stony', 'brook', 'medicine', 'residents', 'covering', 'the', 'university', 'hospital', 'and', 'northport', 'va', 'during', 'the', 'blizzard']","['stoni', 'brook', 'medicin', 'resid', 'cover', 'univers', 'hospit', 'northport', 'va', 'blizzard']",stoni brook medicin resid cover univers hospit northport va blizzard,0.0
398," Surviving Winter Storm Jonas. Guess how many times I had to dig out my car during the blizzard. Also,... http://tmblr.co/ZfLMEq20yGQgQ ",2016-02-01 02:12:00,1,surviving winter storm jonas guess how many times i had to dig out my car during the blizzard also,"['surviving', 'winter', 'storm', 'jonas', 'guess', 'how', 'many', 'times', 'i', 'had', 'to', 'dig', 'out', 'my', 'car', 'during', 'the', 'blizzard', 'also']","['surviv', 'winter', 'storm', 'jona', 'guess', 'mani', 'time', 'dig', 'car', 'blizzard', 'also']",surviv winter storm jona guess mani time dig car blizzard also,0.0
3502, that guy just left his car in the road and said f*ck I'm walking lmao #CNN #blizzard ,2016-01-23 00:32:00,1,that guy just left his car in the road and said fck im walking lmao,"['that', 'guy', 'just', 'left', 'his', 'car', 'in', 'the', 'road', 'and', 'said', 'fck', 'im', 'walking', 'lmao']","['guy', 'left', 'car', 'road', 'said', 'fck', 'im', 'walk', 'lmao']",guy left car road said fck im walk lmao,0.3
867," theonion: Grocery stores will quickly sell out of food during a blizzard, so be sure to stock up on... http://tmblr.co/Z7AU8w20X1gNv ",2016-01-25 02:58:00,1,theonion grocery stores will quickly sell out of food during a blizzard so be sure to stock up on,"['theonion', 'grocery', 'stores', 'will', 'quickly', 'sell', 'out', 'of', 'food', 'during', 'a', 'blizzard', 'so', 'be', 'sure', 'to', 'stock', 'up', 'on']","['theonion', 'groceri', 'store', 'quickli', 'sell', 'food', 'blizzard', 'sure', 'stock']",theonion groceri store quickli sell food blizzard sure stock,0.5
1245," theonion: Grocery stores will quickly sell out of food during a blizzard, so be sure to stock up on... http://tmblr.co/Za2DQx20VEp4z ",2016-01-24 18:40:00,1,theonion grocery stores will quickly sell out of food during a blizzard so be sure to stock up on,"['theonion', 'grocery', 'stores', 'will', 'quickly', 'sell', 'out', 'of', 'food', 'during', 'a', 'blizzard', 'so', 'be', 'sure', 'to', 'stock', 'up', 'on']","['theonion', 'groceri', 'store', 'quickli', 'sell', 'food', 'blizzard', 'sure', 'stock']",theonion groceri store quickli sell food blizzard sure stock,0.5
1714," theonion: Grocery stores will quickly sell out of food during a blizzard, so be sure to stock up on... http://tmblr.co/Zf_mzx20NnpNC ",2016-01-22 22:30:00,1,theonion grocery stores will quickly sell out of food during a blizzard so be sure to stock up on,"['theonion', 'grocery', 'stores', 'will', 'quickly', 'sell', 'out', 'of', 'food', 'during', 'a', 'blizzard', 'so', 'be', 'sure', 'to', 'stock', 'up', 'on']","['theonion', 'groceri', 'store', 'quickli', 'sell', 'food', 'blizzard', 'sure', 'stock']",theonion groceri store quickli sell food blizzard sure stock,0.5
1481, your good at softball! Your really pretty and fun to be around! Your car,2016-01-22 02:25:00,0,your good at softball your really pretty and fun to be around your car,"['your', 'good', 'at', 'softball', 'your', 'really', 'pretty', 'and', 'fun', 'to', 'be', 'around', 'your', 'car']","['good', 'softbal', 'realli', 'pretti', 'fun', 'around', 'car']",good softbal realli pretti fun around car,0.5
3203,"- gourmet foods is lit, hope you're safe in this blizzard glad we got closer this year. You're ",2016-01-23 03:19:00,1,gourmet foods is lit hope youre safe in this blizzard glad we got closer this year youre,"['gourmet', 'foods', 'is', 'lit', 'hope', 'youre', 'safe', 'in', 'this', 'blizzard', 'glad', 'we', 'got', 'closer', 'this', 'year', 'youre']","['gourmet', 'food', 'lit', 'hope', 'your', 'safe', 'blizzard', 'glad', 'got', 'closer', 'year', 'your']",gourmet food lit hope your safe blizzard glad got closer year your,0.5
2523,"!! DURING THE COLD BLIZZARD, A GIRL WAS OUT, TRYING TO SHOVEL THE SNOW OFF HER CAR, BUT SUDDENLY, THE MAFIA SNUCK UP BEHIND HER, +",2016-01-24 04:19:00,1,during the cold blizzard a girl was out trying to shovel the snow off her car but suddenly the mafia snuck up behind her,"['during', 'the', 'cold', 'blizzard', 'a', 'girl', 'was', 'out', 'trying', 'to', 'shovel', 'the', 'snow', 'off', 'her', 'car', 'but', 'suddenly', 'the', 'mafia', 'snuck', 'up', 'behind', 'her']","['cold', 'blizzard', 'girl', 'tri', 'shovel', 'snow', 'car', 'suddenli', 'mafia', 'snuck', 'behind']",cold blizzard girl tri shovel snow car suddenli mafia snuck behind,-0.5
2931,!!! NEW NEW NEW !!!ENG Portals - Storm Jonas: Why a looming blizzard makes us think we can eat all the junk food... http://fb.me/JV4QWqsl ,2016-01-23 16:17:00,1,new new new eng portals  storm jonas why a looming blizzard makes us think we can eat all the junk food,"['new', 'new', 'new', 'eng', 'portals', 'storm', 'jonas', 'why', 'a', 'looming', 'blizzard', 'makes', 'us', 'think', 'we', 'can', 'eat', 'all', 'the', 'junk', 'food']","['new', 'new', 'new', 'eng', 'portal', 'storm', 'jona', 'loom', 'blizzard', 'make', 'us', 'think', 'eat', 'junk', 'food']",new new new eng portal storm jona loom blizzard make us think eat junk food,0.13636363636363635
1215,". @reginathorn Next blizzard, I want more time to chill, make yummy food, and hang out! Have enjoyed the workouts but was not very relaxed!!",2016-01-24 21:20:00,1,next blizzard i want more time to chill make yummy food and hang out have enjoyed the workouts but was not very relaxed,"['next', 'blizzard', 'i', 'want', 'more', 'time', 'to', 'chill', 'make', 'yummy', 'food', 'and', 'hang', 'out', 'have', 'enjoyed', 'the', 'workouts', 'but', 'was', 'not', 'very', 'relaxed']","['next', 'blizzard', 'want', 'time', 'chill', 'make', 'yummi', 'food', 'hang', 'enjoy', 'workout', 'relax']",next blizzard want time chill make yummi food hang enjoy workout relax,0.2
1579,.. make a quick stop and gather somethings in order to prepare for this blizzard. I was there for about 30 mins contemplating life and food.,2016-01-24 00:18:00,1,make a quick stop and gather somethings in order to prepare for this blizzard i was there for about  mins contemplating life and food,"['make', 'a', 'quick', 'stop', 'and', 'gather', 'somethings', 'in', 'order', 'to', 'prepare', 'for', 'this', 'blizzard', 'i', 'was', 'there', 'for', 'about', 'mins', 'contemplating', 'life', 'and', 'food']","['make', 'quick', 'stop', 'gather', 'someth', 'order', 'prepar', 'blizzard', 'min', 'contempl', 'life', 'food']",make quick stop gather someth order prepar blizzard min contempl life food,0.3333333333333333
2177,"... Kinda glad this blizzard is coming, parents went crazy and stocked the house with food!",2016-01-22 14:34:00,1,kinda glad this blizzard is coming parents went crazy and stocked the house with food,"['kinda', 'glad', 'this', 'blizzard', 'is', 'coming', 'parents', 'went', 'crazy', 'and', 'stocked', 'the', 'house', 'with', 'food']","['kinda', 'glad', 'blizzard', 'come', 'parent', 'went', 'crazi', 'stock', 'hous', 'food']",kinda glad blizzard come parent went crazi stock hous food,0.5
708,...blizzard. So imagine the amount of time it'll take to walk in this shit. Then my manager is inconsiderate cuz she has a ride from the..,2016-01-23 15:50:00,1,blizzard so imagine the amount of time itll take to walk in this shit then my manager is inconsiderate cuz she has a ride from the,"['blizzard', 'so', 'imagine', 'the', 'amount', 'of', 'time', 'itll', 'take', 'to', 'walk', 'in', 'this', 'shit', 'then', 'my', 'manager', 'is', 'inconsiderate', 'cuz', 'she', 'has', 'a', 'ride', 'from', 'the']","['blizzard', 'imagin', 'amount', 'time', 'itll', 'take', 'walk', 'shit', 'manag', 'inconsider', 'cuz', 'ride']",blizzard imagin amount time itll take walk shit manag inconsider cuz ride,-0.2
